"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"India","IND","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.36626277958339","4.39507984612006","4.35247069459663","4.47327353382515","4.23340240421416","4.87573766993708","4.61073458209736","4.46969004548027","4.00089222306261","4.12827662076844","3.94146175783859","3.88122760553552","3.84527603731774","3.84238557268593","3.77378960351468","3.7742265447119","3.81964591242577","3.75894890395628","3.58824934358474","3.66005795372058","3.39061648168244","3.22369940894267","","",
"India","IND","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.44273622497863","6.02914341906377","5.88791709450049","5.19998499113449","5.24726752775436","5.02932238103496","4.86575576228396","4.67032507489686","4.67206716138262","4.44122069654956","4.477722252654","4.46898456154509","4.43141568235523","4.21843509744759","4.3339558803351","4.02084227555893","3.73595103718185","","",
"India","IND","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.19148929462814","3.0858463096279","2.94463082854995","2.71114301941431","2.92434953836449","2.77067692008759","2.82130580662443","2.95674561105851","2.94859574893005","3.05463759642855","3.01615800449947","3.11998576096531","3.03451352166298","2.90956058084764","2.93453300971745","2.71233618427607","2.67238876441608","","",
"India","IND","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500000","650000","650000","1000000","526000","854000","612000","796000","806000","",
"India","IND","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6662000","5304000","1411000","1503000","9110000","2145000","3428000","3655000","2400000","1346000","",
"India","IND","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33000","107000","53000","500000","64000","345000","1000","448000","78000","",
"India","IND","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1002","2324","3149","3078","1503","1172","836","828","986","811","2025","2814","1154","1797","1512","1374","1382","1372","1084","1076","1115","1029","433","409","384","463","495","655","656","",
"India","IND","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","27.3856591069134","29.9452323923191","41.8219393418965","45.9242553209491","44.6194019966152","54.2410739320583","48.5193368456995","42.0654867001535","37.007385952129","23.5124676977718","27.4065111796424","36.8837438694935","41.1162200079857","37.8287028879442","35.4029464820401","33.8076806280519","37.5409433467805","46.9071937901966","42.8864471817959","37.6728931122069","38.1699213347066","39.438013019055","32.3771334034263","26.6425761913347","21.4880637124867","21.5818962890783","19.0371451647703","16.2202778143661","18.8832971035701","16.3444844409104","14.4507978158749","12.4828802767486","12.4421135161065","11.1973483245211","12.0408351071239","12.4286433332196","12.8375542867574","12.3916427266656","12.3716860003632","12.5787630553215","13.4941194097567","13.909807279459","14.8181516133077","",
"India","IND","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","41.4978952777769","35.3590647609267","27.7293396207191","22.5436148760495","19.7062361994341","15.597722434332","17.2973194778094","15.7060375709416","13.7939022104561","15.9212479941389","15.736729696749","17.006293629828","19.4287188774866","23.2460938095087","20.7700670861138","20.8139216267312","19.8801295703881","21.1560724327702","24.6737286889177","28.4221162156249","27.951355413547","27.7012728397315","21.759147916397","16.0211107340209","13.1645827576867","14.2103057772667","15.4895392743546","14.9698259203618","14.8357640055774","13.0329510353515","12.6074053482892","12.5084235827367","11.840613034002","12.1173997477151","12.1452789905096","11.3868362691519","12.8331778737951","12.0711698131053","11.3755282105464","11.8744585476076","9.19553977795592","9.41209749488224","9.19417761689117","",
"India","IND","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.06869951880092","4.20061933359965","3.94348119212617","4.69285561252736","4.04694771937534","4.24877870906502","4.78351976383707","5.8048810316258","6.87211297850903","6.53826788352575","5.61951693260641","5.74212927671964","6.25554922806063","6.97022930324046","6.23780301144803","5.94771749347076","5.99807028114686","5.80380305249646","6.07240322389978","6.40329033082546","6.77773319060756","9.09372444877786","7.18054875539038","6.87079929956433","6.63225648619239","8.07393985306161","8.58625988056907","7.51775804690333","7.12968947378722","7.0103263816883","",
