3	1	60	2	5	1989	600	6	8	5	360		7				
4	1	48	4	4	2003	1000	15	0	360	360		8				
2	2	55	3	4	2011	700	15	15	360	100		7				
2	2	52	4	1	1995	390	7	20	360	0		5				
1	2	55	3	2	1996	450	10	5	360	50		5				
2	3	20	3	3	1998	600	12	20	360	0		6				
1	2	25	11	5	2008	945	20	10	360	360		16				
3	1	26	2	3	1998	4500	5	15	0	360		5				
1	2	26	1	4	1993	1000	5	20	0	160		5				
4	2	26	3	8	1988	500	4	4	360	160		11				
1	1	26	3	2	2008	380	0	0	5	0		5				
1	1	26	4	2	2007	750	1	0	50	360		6				 
1	2	27	3	2	1999	600	12	12	300	250		5				
2	1	27	6	1	2009	300	8	0	360	360		7				
5	1	27	2	4	1990	400	20	40	360	0		6				
1	1	27	4	3	2014	1100	7	14	360	0		7				
3	3	27	1	3	1999	120	4	9	360	0		4				
3	2	27	4	3	1978	220	8	0	360	0		7				
5	1	27	3	4	2018	375	5	50	360	360		7				
1	1	27	7	0	1984	500	300	50	360	0		7				
2	1	28	1	1	2016	600	0	0	360	0		2				
3	1	28	1	1	1989	200	1	2	360	360		2				
2	1	28	4	0	1987	350	10	150	360	360		4				
5	2	28	3	3	1984	200	2	0	360	0		6				
3	2	28	1	5	1999	400	90	120	360	360		6				
2	2	29	2	2	2015	400	6	4	360	360		4				
1	1	29	3	2	1990	1500	2	10	340	360		5				
5	2	29	7	2	2001	200	150	0	360	0		9				
5	1	29	1	1	2019	230	20	0	360	0		2				
2	1	30	3	2	2013	360	4	0	360	150		5				
4	4	30	2	1	2017	300	3	2	360	0		3				
2	2	30	2	2	1985	900	0	12	360	48		4				
4	2	30	2	3	1999	700	50	100	360	300		5				
2	1	30	1	2	2017	150	0	0	360	360		3				
2	3	30	2	2	1995	550	10	0	360	360		4				
4	1	30	1	2	1988	400	5	0	360	0		3				
4	3	30	2	2	2004	325	15	15	360	360		4				
2	1	30	3	5	2017	475	10	30	360	360		8				
2	1	30	3	3	2013	700	2	1	360	360		6				
1	1	30	4	2	2012	400	15	15	360	360		6				
1	2	30	3	3	2008	2000	12	43	360	100		6				
2	2	31	1	2	2015	250	3	5	360	360		3				
2	1	31	2	3	2002	400	10	0	360	0		5				
2	1	31	2	1	2014	300	10	0	360	0		3				
3	1	31	3	5	2017	400	1	0	360	0		8				
5	2	31	2	1	1994	750	2	2	360	0		3				
3	1	31	3	2	2008	560	20	10	360	360		5				
5	1	31	0	2	2004	500	20	15	360	0		2				
1	1	32	3	0	2013	300	5	0	360	360		3				 
